姓名,学号,手机号码,
张三,16010203,16699995521,
李四,16010204,16699995522,
王五,16010205,16699995523,
赵六,16010206,16699995524,
郑七,16010207,16699995525,
钱八,16010208,16699995526,
张千,16010209,16699995527,
赵六,16010210,16699995528,
李矛,16010211,16699995529,
张白,16010212,16699995510,
白九,16010213,16699995511,
冀二,16010214,16699995512,
余一,16010215,16699995513,
,,,
,,,
,,,
,,,
学号,C#,线代,python
16010203,78,88,96
16010210,87,58,83
16010205,84,65,82
16010213,86,72,67
16010215,67,76,85
16010208,76,43,69
16010209,56,68,92
16010204,89,缺考,86
16010211,81,81,75
16010212,73,77,69
16010206,65,80,84
16010214,90,73,91
16010207,91,64,86
